Protein A,Protein B
Q96A25,Q86UN3
Q96A25,Q86W74
Q96A25,Q12891
Q96A25,Q9NX76
Q5SWH9,Q9BY42
Q5SWH9,Q9P2X3
Q5SWH9,Q6IN85
Q5SWH9,P29144
Q5SWH9,P30613
Q5SWH9,Q96KB5
Q5SWH9,P67775
Q5SWH9,P29034
Q5SWH9,Q9ULA0
Q5SWH9,Q8N1G2
Q5SWH9,Q9GZN8
Q5SWH9,O15254
Q5SWH9,Q9H6Z9
Q5SWH9,P07288
Q5SWH9,Q9H3S4
Q5SWH9,P24158
P21580,P49862
P21580,A8K2U0
P21580,P22735
P21580,P42357
P21580,Q96EY8
P21580,Q8IW75
P13805,Q96EY8
P13805,Q9H2D6
Q8N2K1,P49862
Q8N2K1,P42357
Q8N2K1,P31944
Q8N2K1,P05089
Q8N2K1,Q9H3S4
Q8N2K1,P11226
Q8N2K1,P30613
Q8N2K1,O75342
Q8N2K1,Q15517
Q8N2K1,Q5T749
P10966,P13637
P10966,Q99523
P10966,P11362
P10966,P12931
P10966,Q9Y3A5
P10966,Q8IXK2
P10966,Q08AS3
P10966,P07478
Q9Y3Y2,Q13733
Q9Y3Y2,Q6S8J3
Q9Y3Y2,Q6PJT7
Q9Y3Y2,Q08043
Q9Y3Y2,Q99873
Q9Y3Y2,P11277
Q9Y3Y2,Q13748
Q9Y3Y2,P84090
Q9Y3Y2,A7E2Y1
Q9Y3Y2,Q8WXD5
Q9Y3Y2,Q9ULV3
Q9Y3Y2,Q96QD9
Q9UMR7,P30511
